Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
536365,85123A,CRM,1,27-11-2021 06:22,1.204819,1,Afghanistan
536365,71053,Ticket,1,27-11-2021 06:45,7.46988,3,Albania
536365,84406B,joinnex183D,1,27-11-2021 06:45,1.204819,5,Algeria
536365,84029G,test 1,1,27-11-2021 06:45,1.204819,5,American Samoa
536365,84029E,test2,1,27-11-2021 06:46,1.204819,7,Andorra
536365,22752,test 3,1,28-11-2021 05:30,1.204819,429,Angola
536365,21730,test . 4,1,27-11-2021 06:46,1.204819,23785,Anguilla
536366,22633,test @,1,29-11-2021 18:30,10.8494,23785,Antarctica
536366,22632,AKFJJ,1,03-12-2021 18:30,1.204819,23790,Antigua And Barbuda
536368,22960,undefined,1,04-12-2021 18:30,1.204819,23818,Argentina
536368,22913,metal tool,3,27-11-2021 08:50,18.53012,56077,Armenia
536368,22912,B.VOC MLT ,4,02-12-2021 05:40,72.28916,56078,Aruba
536368,22914,VAS,1,02-12-2021 05:53,12.04819,60093,Australia
536367,84879,LIC,1,08-12-2021 10:00,144.5783,60094,Austria
536367,22745,LI,1,05-01-2022 07:55,1084.337,60094,Azerbaijan
536367,22748,PMS,1,NULL,1.204819,60094,Bahamas The
536367,22749,nashik darshan,1,NULL,1204.819,60094,Bahrain
536367,22310,Bid,1,11-01-2022 09:45,120.4819,60094,Bangladesh
536367,84969,aashirvad aata,2,12-01-2022 05:10,27.01205,60096,Barbados
536367,22623,IC Lm324,20,05-01-2022 07:54,255.9036,60097,Belarus
536367,22622,smasung 32 inch tv,1,05-01-2022 07:54,119.2771,60096,Belgium
536367,21754,Test,1,05-01-2022 07:54,12.04819,60096,Belize
536367,21755,56hj,2,05-01-2022 07:54,216.8675,60096,Benin
536367,21777,soap,1,05-01-2022 07:54,12.06024,60097,Bermuda
536367,48187,flex,1,05-01-2022 07:54,118.0723,60096,Bhutan
536369,21756,roller standy,1,05-01-2022 07:54,71.08434,60096,Bolivia
536370,22728,speaker,10,31-01-2022 10:34,139.3253,60098,Bosnia and Herzegovina
536370,22727,lights,32,14-01-2022 10:02,239.0361,60089,Botswana
536370,22726,bottle,12,14-01-2022 10:02,162.0723,60098,Bouvet Island
536370,21724,marriage suite,2,15-01-2022 10:02,28.43373,60099,Brazil
536370,21883,shirt,2,15-01-2022 11:14,2.409639,60099,British Indian Ocean Territory
536370,10002,coat,2,15-01-2022 13:17,12.04819,60099,Brunei
536370,21791,NULL,1,15-01-2022 13:59,1084.337,60096,Bulgaria
536370,21035,NULL,2,31-01-2022 18:30,24.09639,60099,Burkina Faso
536370,22326,NULL,12,15-01-2022 14:16,144.5783,60098,Burundi
536370,22629,NULL,25,22-01-2022 14:16,301.2048,60099,Cambodia
536370,22659,NULL,21,15-01-2022 14:18,253.012,60099,Cameroon
536370,22631,NULL,2,22-01-2022 13:18,24.09639,60099,Canada
536370,22661,NULL,34,15-01-2022 14:25,368.6747,60098,Cape Verde
536370,21731,NULL,2,20-01-2022 06:26,2.409639,60099,Cayman Islands
536370,22900,NULL,20,21-01-2022 08:40,24.09639,60099,Central African Republic
536370,21913,NULL,1,21-01-2022 14:10,1.204819,60099,Chad
536370,22540,NULL,2,21-01-2022 14:11,2.409639,60099,Chile
536370,22544,NULL,1,22-01-2022 14:11,1.204819,60099,China
536370,22492,NULL,2,21-01-2022 14:10,24.09639,60099,Christmas Island
536370,POST,NULL,12,21-01-2022 18:30,170.6024,60099,Cocos (Keeling) Islands
536371,22086,NULL,2,22-01-2022 07:22,24.09639,60099,Colombia
536372,22632,NULL,15,21-01-2022 14:23,180.7229,60099,Comoros
536372,22633,NULL,2,27-01-2022 17:47,24.0639,60098,Congo
536373,85123A,NULL,2,27-01-2022 18:30,284.3373,60099,Congo The Democratic Republic Of The
536373,71053,NULL,20,30-01-2022 15:26,2409.639,60098,Cook Islands
536373,84406B,NULL,1,31-01-2022 05:30,132.5301,60098,Costa Rica
536373,20679,NULL,2,30-01-2022 15:42,28.43373,60097,Cote D'Ivoire (Ivory Coast)
536373,37370,NULL,2,30-01-2022 15:50,240.9639,60099,Croatia (Hrvatska)
536373,21871,NULL,2,31-01-2022 16:30,284.3373,60096,Cuba
536373,21071,NULL,45,30-01-2022 16:05,543.253,60099,Cyprus
536373,21068,NULL,2,31-01-2022 10:33,24.09639,60099,Czech Republic
536373,82483,NULL,21,31-01-2022 12:03,364.2361,60099,Denmark
536373,82486,NULL,12,01-02-2022 06:30,170.6024,60093,Djibouti
536373,82482,NULL,2,31-01-2022 16:15,129.6578,60092,Dominica
536373,82494L,NULL,2,21-01-2022 11:58,240.9639,60099,Dominican Republic
536373,84029G,NULL,2,31-01-2022 17:57,24.09639,60094,East Timor
536373,84029E,NULL,1,01-02-2022 11:17,639.759,60105,Ecuador
536373,22752,NULL,2,08-02-2022 06:30,2.409639,60084,Egypt
536373,21730,NULL,1,01-02-2022 12:04,36.14458,60094,El Salvador
536374,21258,NULL,1,15-02-2022 06:30,12.04819,60094,Equatorial Guinea
536375,85123A,NULL,3,01-02-2022 12:27,151.8072,60097,Eritrea
536375,71053,NULL,1,08-02-2022 06:30,1.204819,60099,Estonia
536375,84406B,NULL,2,01-02-2022 12:28,2.409639,60099,Ethiopia
536375,20679,NULL,2,08-02-2022 06:30,2.409639,60099,External Territories of Australia
536375,37370,NULL,23,01-02-2022 12:36,277.1084,60099,Falkland Islands
536375,21871,NULL,2,08-02-2022 06:30,149.3976,60105,Faroe Islands
536375,21071,NULL,1,01-02-2022 12:57,7.46988,60099,Fiji Islands
536375,21068,NULL,5,08-02-2022 06:30,253.012,60105,Finland
536375,82483,NULL,4,07-02-2022 18:25,202.4096,60090,France
536375,82486,NULL,1,07-02-2022 12:05,12.04819,60099,French Guiana
536375,82482,NULL,1,07-02-2022 12:35,12.04819,60099,French Polynesia
536375,82494L,NULL,2,08-02-2022 07:15,24.09639,60097,French Southern Territories
536375,84029G,NULL,10,08-02-2022 07:20,120.4819,60105,Gabon
