Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,
1,1,Email,Olark Chat,No,No,0,0,15,0,Email Open,Afghanistan,ORGGEN TECHNOLOGIES LLP,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Bombuflat,02.Medium,02.Medium,15,15,No,No,Email Open,
2,1,Email,Organic Search,No,No,0,5,15,2.5,Email Open,Albania,xyz,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Garacharma,02.Medium,02.Medium,15,15,No,No,Email Open,
3,1,Email,Direct Traffic,No,No,0,2,15,2,Email Open,Algeria,,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Port Blair,02.Medium,01.High,14,20,No,Yes,Email Open,
4,1,Email,Direct Traffic,No,No,0,1,15,1,Email Open,American Samoa,,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Rangat,02.Medium,01.High,13,17,No,No,Email Open,
5,1,Email,Google,No,No,0,2,15,1,Email Open,Andorra,,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Addanki,02.Medium,01.High,15,18,No,No,Email Open,
6,1,Email,Olark Chat,No,No,0,0,15,0,Email Open,Angola,,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Adivivaram,01.High,02.Medium,17,15,No,No,Email Open,
7,1,Email,Google,No,No,0,2,15,2,Email Open,Anguilla,,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Adoni,02.Medium,01.High,14,20,No,No,Email Open,
8,1,Email,Olark Chat,No,No,0,0,15,0,Email Open,Antarctica,Terabyte Infosys,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Aganampudi,02.Medium,02.Medium,15,15,No,No,Email Open,
9,1,Email,Direct Traffic,No,No,0,2,15,2,Email Open,Antigua And Barbuda,Allied Digital Services Pvt Ltd,,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Ajjaram,02.Medium,02.Medium,14,14,No,Yes,Email Open,
10,1,Email,Google,No,No,0,4,15,4,Email Open,Argentina,Samvik Marketing,Word Of Mouth,,,No,No,No,No,No,No,No,No,Confused,Worst,No,No,Select,Akividu,02.Medium,02.Medium,13,16,No,No,Email Open,
